chart_id,body,expected_longitude,actual_longitude,deviation_deg,deviation_arcsec,tolerance_deg,within_tolerance
obama,Sun,132.5479,132.5477,0.0002,0.86,0.01,PASS
obama,Moon,63.3574,63.3577,0.0003,0.91,0.02,PASS
obama,Mercury,122.3316,122.3318,0.0002,0.65,0.01,PASS
obama,Venus,91.7893,91.7894,0.0001,0.53,0.01,PASS
obama,Mars,172.5766,172.5768,0.0002,0.69,0.01,PASS
obama,Jupiter,300.8586,300.8582,0.0004,1.28,0.01,PASS
obama,Saturn,295.3307,295.3305,0.0002,0.6,0.01,PASS
obama,Uranus,145.2708,145.2712,0.0004,1.36,0.01,PASS
obama,Neptune,218.6059,218.6024,0.0035,12.45,0.01,PASS
obama,Pluto,156.9778,156.9782,0.0004,1.41,0.01,PASS
beyonce,Sun,162.4556,162.4558,0.0002,0.62,0.01,PASS
beyonce,Moon,236.7345,236.7346,0.0001,0.3,0.02,PASS
beyonce,Mercury,183.2804,183.2801,0.0003,1.19,0.01,PASS
beyonce,Venus,200.8014,200.8016,0.0002,0.69,0.01,PASS
beyonce,Mars,121.9291,121.9293,0.0002,0.59,0.01,PASS
beyonce,Jupiter,192.4871,192.4864,0.0007,2.49,0.01,PASS
beyonce,Saturn,189.1074,189.1073,0.0001,0.46,0.01,PASS
beyonce,Uranus,236.4818,236.4805,0.0013,4.66,0.01,PASS
beyonce,Neptune,262.0873,262.0837,0.0036,12.84,0.01,PASS
beyonce,Pluto,202.6736,202.6744,0.0008,2.94,0.01,PASS
diana,Sun,99.663,99.663,0.0,0.12,0.01,PASS
diana,Moon,325.0379,325.0383,0.0004,1.56,0.02,PASS
diana,Mercury,93.2014,93.2021,0.0007,2.53,0.01,PASS
diana,Venus,54.3998,54.4001,0.0003,0.91,0.01,PASS
diana,Mars,151.6457,151.6459,0.0002,0.82,0.01,PASS
diana,Jupiter,305.0971,305.0967,0.0004,1.57,0.01,PASS
diana,Saturn,297.814,297.8135,0.0005,1.63,0.01,PASS
diana,Uranus,143.336,143.3364,0.0004,1.4,0.01,PASS
diana,Neptune,218.6367,218.6332,0.0035,12.75,0.01,PASS
diana,Pluto,156.044,156.0445,0.0005,1.77,0.01,PASS
einstein,Sun,353.5077,353.5077,0.0,0.13,0.01,PASS
einstein,Moon,254.5258,254.5266,0.0008,2.85,0.02,PASS
einstein,Mercury,3.1438,3.1432,0.0006,2.05,0.01,PASS
einstein,Venus,16.9849,16.9849,0.0,0.01,0.01,PASS
einstein,Mars,296.9141,296.9147,0.0006,2.07,0.01,PASS
einstein,Jupiter,327.484,327.484,0.0,0.17,0.01,PASS
einstein,Saturn,4.1897,4.1892,0.0005,1.78,0.01,PASS
einstein,Uranus,151.2884,151.2886,0.0002,0.78,0.01,PASS
einstein,Neptune,37.8719,37.8718,0.0001,0.47,0.01,PASS
einstein,Pluto,54.7255,54.7271,0.0016,5.61,0.01,PASS
jobs,Sun,335.7481,335.7481,0.0,0.0,0.01,PASS
jobs,Moon,7.7472,7.7477,0.0005,1.74,0.02,PASS
jobs,Mercury,314.3617,314.3613,0.0004,1.54,0.01,PASS
jobs,Venus,291.1718,291.1724,0.0006,2.22,0.01,PASS
jobs,Mars,29.0905,29.0904,0.0001,0.39,0.01,PASS
jobs,Jupiter,110.5079,110.5074,0.0005,1.98,0.01,PASS
jobs,Saturn,231.1627,231.1627,0.0,0.06,0.01,PASS
jobs,Uranus,114.1349,114.1341,0.0008,3.02,0.01,PASS
jobs,Neptune,208.0513,208.0485,0.0028,10.15,0.01,PASS
jobs,Pluto,145.3227,145.3231,0.0004,1.44,0.01,PASS
musk,Sun,95.8906,95.8907,0.0001,0.43,0.01,PASS
musk,Moon,158.2427,158.243,0.0003,1.17,0.02,PASS
musk,Mercury,104.0665,104.0658,0.0007,2.4,0.01,PASS
musk,Venus,79.3968,79.3969,0.0001,0.21,0.01,PASS
musk,Mars,320.9056,320.9039,0.0017,6.21,0.01,PASS
musk,Jupiter,237.6479,237.6488,0.0009,3.39,0.01,PASS
musk,Saturn,61.1226,61.1235,0.0009,3.28,0.01,PASS
musk,Uranus,189.4821,189.4814,0.0007,2.57,0.01,PASS
musk,Neptune,240.8135,240.8091,0.0044,15.86,0.01,PASS
musk,Pluto,177.0934,177.094,0.0006,2.3,0.01,PASS
monroe,Sun,70.4443,70.4442,0.0001,0.28,0.01,PASS
monroe,Moon,319.0983,319.099,0.0007,2.68,0.02,PASS
monroe,Mercury,66.7786,66.7794,0.0008,2.91,0.01,PASS
monroe,Venus,28.7504,28.7505,0.0001,0.36,0.01,PASS
monroe,Mars,350.7315,350.7318,0.0003,0.91,0.01,PASS
monroe,Jupiter,326.8257,326.8252,0.0005,1.88,0.01,PASS
monroe,Saturn,231.4416,231.443,0.0014,4.93,0.01,PASS
monroe,Uranus,358.9947,358.9949,0.0002,0.62,0.01,PASS
